Z(m),F_avg(N),F_std(N)
-4.947323163648428e-05,-4.566104049996058e-10,1.19114749560331e-10
-4.937320740194725e-05,-4.5524198059781403e-10,1.185646122799372e-10
-4.927318316741023e-05,-4.552582945352975e-10,1.1850409866662533e-10
-4.91731589328732e-05,-4.5532167418365587e-10,1.1812764843498657e-10
-4.9073134698336174e-05,-4.5491129719555966e-10,1.1763770692195054e-10
-4.8973110463799146e-05,-4.543866235327821e-10,1.177818542387896e-10
-4.8873086229262125e-05,-4.554012626160203e-10,1.1771747037876717e-10
-4.87730619947251e-05,-4.5265487358986487e-10,1.165310744546363e-10
-4.867303776018807e-05,-4.546412464901124e-10,1.1622927628926515e-10
-4.857301352565104e-05,-4.533745113956356e-10,1.1526320454778829e-10
-4.847298929111402e-05,-4.5241948595123626e-10,1.1477439792487667e-10
-4.837296505657699e-05,-4.5228892893423893e-10,1.1423652518163201e-10
-4.8272940822039966e-05,-4.5208800617553247e-10,1.1298083270228712e-10
-4.8172916587502945e-05,-4.51811579951996e-10,1.1403316066786165e-10
-4.807289235296592e-05,-4.514797682333326e-10,1.1312966643276782e-10
-4.797286811842889e-05,-4.510348976521745e-10,1.129057271640054e-10
-4.787284388389186e-05,-4.5041844070755774e-10,1.1249448167325812e-10
-4.777281964935484e-05,-4.4991989771959287e-10,1.1119226218046597e-10
-4.767279541481781e-05,-4.4918086674681605e-10,1.1115666782721675e-10
-4.7572771180280785e-05,-4.489894509914273e-10,1.1088087827001176e-10
-4.7472746945743764e-05,-4.484101126064458e-10,1.0991397960254115e-10
-4.7372722711206737e-05,-4.4823328985382487e-10,1.0959128602070336e-10
-4.727269847666971e-05,-4.4844309844091267e-10,1.0969574447053295e-10
-4.717267424213268e-05,-4.481103501751399e-10,1.0805741454703557e-10
-4.707265000759566e-05,-4.477141679727202e-10,1.0917641499188175e-10
-4.697262577305863e-05,-4.470397128880179e-10,1.0809534422620607e-10
-4.6872601538521605e-05,-4.4688093436844025e-10,1.0826821495337533e-10
-4.677257730398458e-05,-4.461037638803519e-10,1.069742808444816e-10
-4.6672553069447556e-05,-4.455893426193584e-10,1.0788759847216508e-10
-4.657252883491053e-05,-4.4599841719836036e-10,1.0635985532532492e-10
-4.64725046003735e-05,-4.465776753879827e-10,1.0619054034726894e-10
-4.637248036583648e-05,-4.4626187111617314e-10,1.0589411906739904e-10
-4.627245613129945e-05,-4.457496768957082e-10,1.0625989268624058e-10
-4.6172431896762424e-05,-4.4534711485363803e-10,1.062474438365483e-10
-4.60724076622254e-05,-4.43882427955716e-10,1.0568159215531917e-10
-4.5972383427688376e-05,-4.4309506342431377e-10,1.0505542571510165e-10
-4.587235919315135e-05,-4.442779357418896e-10,1.0488696426143472e-10
-4.577233495861432e-05,-4.4320277976005316e-10,1.0473112584670193e-10
-4.567231072407729e-05,-4.434905152061755e-10,1.0439545783561649e-10
-4.557228648954027e-05,-4.4337366681008814e-10,1.0378271737587316e-10
-4.5472262255003244e-05,-4.4215989507872304e-10,1.0469060924108294e-10
-4.5372238020466216e-05,-4.415870562663071e-10,1.0290103267049138e-10
-4.5272213785929195e-05,-4.4183043502711585e-10,1.0290605151492373e-10
-4.517218955139217e-05,-4.4095604955248105e-10,1.0367667587631335e-10
-4.507216531685514e-05,-4.4134216890547745e-10,1.0192135292359739e-10
-4.497214108231811e-05,-4.39452242315156e-10,1.0256028495699521e-10
-4.487211684778109e-05,-4.390129808420692e-10,1.021867667880206e-10
-4.4772092613244064e-05,-4.393050128791332e-10,1.0180720982823251e-10
-4.4672068378707036e-05,-4.3785705196310496e-10,1.0164212191607298e-10
-4.4572044144170015e-05,-4.3797464302923904e-10,1.0072794353034581e-10
-4.447201990963299e-05,-4.3774057382365555e-10,1.0110506350339118e-10
-4.437199567509596e-05,-4.358936330938292e-10,1.0176892791083775e-10
-4.427197144055893e-05,-4.380079780028472e-10,1.0056683075581876e-10
