indentation(m),F_avg(N),F_std(N)
0.0,0.0,0.0
5.405865400309751e-10,2.92608550419536e-13,3.1115916832154976e-13
1.0811730800619502e-09,5.85217100839072e-13,6.223183366430995e-13
1.6217596200929254e-09,8.778256512586086e-13,9.334775049646493e-13
2.1623461601239004e-09,1.170434201678144e-12,1.244636673286199e-12
2.7029327001548754e-09,1.4630427520976801e-12,1.5557958416077485e-12
3.243519240185851e-09,1.7556513025172173e-12,1.8669550099292987e-12
3.784105780216826e-09,2.0482598529367524e-12,2.178114178250848e-12
4.324692320247801e-09,2.340868403356288e-12,2.489273346572398e-12
4.865278860278776e-09,2.633476953775827e-12,2.8004325148939478e-12
5.405865400309751e-09,2.9260855041953602e-12,3.111591683215497e-12
5.946451940340726e-09,3.2186940546148978e-12,3.4227508515370464e-12
6.487038480371702e-09,3.5113026050344345e-12,3.733910019858597e-12
7.027625020402677e-09,3.803911155453969e-12,4.045069188180147e-12
7.568211560433652e-09,4.096519705873505e-12,4.356228356501696e-12
8.108798100464626e-09,4.389128256293042e-12,4.667387524823245e-12
8.649384640495602e-09,4.681736806712576e-12,4.978546693144796e-12
9.189971180526578e-09,4.974345357132118e-12,5.289705861466345e-12
9.730557720557552e-09,5.266953907551654e-12,5.6008650297878956e-12
1.0271144260588528e-08,5.5595624579711906e-12,5.912024198109444e-12
1.0811730800619502e-08,5.8521710083907205e-12,6.223183366430994e-12
1.1352317340650478e-08,6.144779558810259e-12,6.5343425347525435e-12
1.1892903880681452e-08,6.4373881092297956e-12,6.845501703074093e-12
1.2433490420712428e-08,6.7299966596493336e-12,7.156660871395645e-12
1.2974076960743403e-08,7.022605210068869e-12,7.467820039717195e-12
1.3514663500774378e-08,7.315213760488403e-12,7.778979208038742e-12
1.4055250040805353e-08,7.607822310907939e-12,8.090138376360293e-12
1.4595836580836328e-08,7.900430861327472e-12,8.401297544681842e-12
1.5136423120867303e-08,8.19303941174701e-12,8.712456713003392e-12
1.567700966089828e-08,8.485647962166552e-12,9.023615881324942e-12
1.6217596200929252e-08,8.778256512586084e-12,9.33477504964649e-12
1.6758182740960228e-08,9.070865063005621e-12,9.645934217968044e-12
1.7298769280991203e-08,9.363473613425152e-12,9.957093386289592e-12
1.783935582102218e-08,9.656082163844692e-12,1.026825255461114e-11
1.8379942361053155e-08,9.948690714264236e-12,1.057941172293269e-11
1.8920528901084128e-08,1.0241299264683771e-11,1.089057089125424e-11
1.9461115441115103e-08,1.0533907815103308e-11,1.1201730059575791e-11
2.000170198114608e-08,1.0826516365522842e-11,1.1512889227897338e-11
2.0542288521177055e-08,1.1119124915942381e-11,1.1824048396218888e-11
2.1082875061208028e-08,1.1411733466361915e-11,1.2135207564540438e-11
2.1623461601239003e-08,1.1704342016781441e-11,1.2446366732861988e-11
2.216404814126998e-08,1.1993576438502348e-11,1.2749513313372525e-11
2.2704634681300955e-08,1.2280410577613693e-11,1.304759045255947e-11
2.324522122133193e-08,1.2556885460938011e-11,1.3328490613383172e-11
2.3785807761362903e-08,1.2818552997401699e-11,1.357377143932937e-11
2.432639430139388e-08,1.3087317282953494e-11,1.380561331755164e-11
2.4866980841424855e-08,1.3365644014859006e-11,1.4021067985855433e-11
2.540756738145583e-08,1.3668636549638638e-11,1.4203500781419767e-11
2.5948153921486807e-08,1.3975022705646318e-11,1.4388766764980274e-11
2.648874046151778e-08,1.4280250489296361e-11,1.458115421878669e-11
2.7029327001548755e-08,1.458547827294641e-11,1.4777952440478323e-11
2.756991354157973e-08,1.489070605659645e-11,1.4978987581275196e-11
2.8110500081610707e-08,1.51959338402465e-11,1.5184091353548703e-11
2.865108662164168e-08,1.5501161623896547e-11,1.5393101121989257e-11
2.9191673161672655e-08,1.5806389407546596e-11,1.5605859948000954e-11
2.973225970170363e-08,1.6111617191196652e-11,1.5822216593366813e-11
3.027284624173461e-08,1.6416844974846676e-11,1.6042025488826615e-11
3.081343278176558e-08,1.6722072758496732e-11,1.6265146672774645e-11
3.135401932179656e-08,1.702730054214678e-11,1.6491445704835582e-11
3.1894605861827534e-08,1.7332528325796828e-11,1.6720793558625334e-11
3.2435192401858503e-08,1.7637756109446875e-11,1.6953066497561785e-11
3.297577894188948e-08,1.794298389309691e-11,1.718814593716541e-11
3.3516365481920455e-08,1.824821167674696e-11,1.742591829688749e-11
3.405695202195143e-08,1.855343946039701e-11,1.7666274844127714e-11
3.459753856198241e-08,1.885866724404706e-11,1.7909111532755596e-11
3.513812510201338e-08,1.9163895027697113e-11,1.8154328838132737e-11
3.567871164204436e-08,1.946912281134715e-11,1.840183159034436e-11
3.6219298182075334e-08,1.9774350594997206e-11,1.8651528807089557e-11
3.675988472210631e-08,2.007957837864726e-11,1.8903333527448175e-11
3.730047126213728e-08,2.03848061622973e-11,1.915716264753628e-11
3.7841057802168255e-08,2.0690033945947342e-11,1.9412936758881472e-11
3.838164434219923e-08,2.0995261729597395e-11,1.967057999018997e-11
3.892223088223021e-08,2.130048951324744e-11,1.9930019853039568e-11
3.946281742226118e-08,2.160571729689748e-11,2.019118709191214e-11
4.000340396229216e-08,2.191094508054753e-11,2.045401553887662e-11
4.0543990502323134e-08,2.221617286419757e-11,2.071844197314488e-11
4.108457704235411e-08,2.252140064784763e-11,2.09844059856479e-11
4.1625163582385086e-08,2.2826628431497683e-11,2.1251849848716184e-11
4.2165750122416055e-08,2.313185621514773e-11,2.1520718390895305e-11
4.270633666244703e-08,2.343708399879776e-11,2.1790958876883308e-11
4.324692320247801e-08,2.3742311782447822e-11,2.2062520892540324e-11
4.378750974250898e-08,2.4047539566097865e-11,2.2335356234891252e-11
4.432809628253996e-08,2.4352767349747902e-11,2.260941880701871e-11
4.4868682822570934e-08,2.4657995133397955e-11,2.2884664517724665e-11
4.540926936260191e-08,2.4962843190078318e-11,2.316012507460489e-11
4.5949855902632886e-08,2.5261673302653332e-11,2.3422080914450733e-11
4.649044244266386e-08,2.5555462553130503e-11,2.367605662236984e-11
4.703102898269483e-08,2.5833153318794443e-11,2.3907535672987943e-11
4.757161552272581e-08,2.6098063137505725e-11,2.4126254724233937e-11
4.811220206275678e-08,2.634952362038965e-11,2.433338007680084e-11
4.865278860278776e-08,2.661256754460568e-11,2.4528493314421446e-11
4.9193375142818734e-08,2.6906525990448483e-11,2.4699999815162966e-11
4.973396168284971e-08,2.7229597867566946e-11,2.4841388633731884e-11
5.0274548222880686e-08,2.756748705869055e-11,2.4959608191865506e-11
5.081513476291166e-08,2.7908355096496474e-11,2.507632624681948e-11
5.135572130294264e-08,2.825219223778721e-11,2.518639275819609e-11
5.1896307842973614e-08,2.8597121320745905e-11,2.5295870848159024e-11
5.243689438300458e-08,2.894205040370463e-11,2.5408339082055083e-11
5.297748092303556e-08,2.928697948666333e-11,2.5523757932482246e-11
5.3518067463066534e-08,2.9631908569622065e-11,2.564208755597971e-11
5.405865400309751e-08,2.997683765258078e-11,2.5763287845428922e-11
5.4599240543128486e-08,3.032176673553949e-11,2.588731848086314e-11
5.513982708315946e-08,3.06666958184982e-11,2.6014138978604842e-11
5.568041362319044e-08,3.101162490145691e-11,2.6143708738662427e-11
5.6221000163221414e-08,3.135655398441563e-11,2.6275987090329763e-11
5.676158670325239e-08,3.1701483067374346e-11,2.6410933335943587e-11
